UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
115393,42,48,49,0,12,39,1,48,,43,49,50,0,11,39,1,49,,41,46,48,0,13,39,1,47,,4,6,6,0,4,90,0,6,,19,26,27,0,12,61,1,27,,3,4,5,0,4,92,0,4,,35,37,37,0,34,29,3,34,,42,44,45,0,29,25,2,43,,26,28,28,0,40,32,5,23,,3,4,4,0,55,41,0,4,,20,23,24,0,32,44,1,23,,2,3,4,0,56,41,0,3,
115409,88,94,94,0,5,0,,,94,79,92,92,0,8,0,,,92,89,95,95,0,5,1,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,75,75,0,25,0,,,75,,,,,,,,,,75,75,75,0,25,0,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,
115755,20,47,50,0,35,15,,,50,19,45,48,1,34,17,,,48,22,49,52,0,36,11,,,52,0,5,10,5,55,30,,,10,0,14,14,0,43,43,,,14,0,0,8,8,62,23,,,8,74,78,79,0,13,8,,,79,71,76,77,0,14,9,,,77,78,82,83,0,11,5,,,83,49,61,62,1,20,16,,,62,43,54,54,0,20,26,,,54,52,65,67,2,21,11,,,67
115773,49,58,58,2,9,30,0,21,37,50,59,59,0,9,31,0,25,34,45,55,55,9,9,27,0,9,45,13,13,13,0,25,63,0,0,13,10,10,10,0,10,80,0,0,10,17,17,17,0,50,33,0,0,17,56,62,62,0,18,20,0,15,47,46,52,53,0,22,25,0,22,30,68,75,75,0,12,13,0,6,69,31,37,38,0,31,31,0,12,27,35,43,45,0,25,29,0,18,27,22,26,26,0,41,33,0,0,26
115861,40,44,46,2,11,41,1,45,,37,42,44,1,10,44,1,43,,49,54,54,2,15,29,1,53,,18,22,25,2,11,61,4,22,,17,21,24,3,10,63,4,20,,19,25,27,2,13,58,4,24,,40,42,43,1,25,31,2,41,,45,48,49,0,20,31,3,46,,28,31,31,3,36,31,0,31,,27,31,33,1,30,36,4,29,,20,25,30,0,26,44,3,26,,29,32,34,1,31,34,4,30,
115931,80,80,80,0,0,20,77,3,,78,79,79,0,0,21,74,5,,84,84,84,0,0,16,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,84,84,0,1,15,77,7,,85,85,85,0,0,15,74,11,,82,82,82,0,2,16,81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116226,83,83,100,0,0,0,0,33,67,100,100,100,0,0,0,0,50,50,75,75,100,0,0,0,0,25,75,67,67,67,0,0,33,0,67,0,100,100,100,0,0,0,0,100,0,60,60,60,0,0,40,0,60,0,60,60,60,0,0,40,0,29,31,69,69,69,0,0,31,0,31,38,55,55,55,0,0,45,0,27,27,47,49,49,0,0,51,0,29,20,67,83,83,0,0,17,0,50,33,44,44,44,0,0,56,0,26,19
116439,53,58,59,0,14,27,2,57,,53,60,61,1,15,23,2,60,,53,57,58,0,13,28,3,56,,24,29,30,1,20,48,4,26,,33,37,39,3,21,37,5,34,,22,27,29,1,20,51,4,25,,29,32,34,1,39,26,6,28,,33,38,41,1,32,27,5,35,,27,29,30,1,44,26,6,24,,9,12,13,0,49,37,2,11,,16,20,23,0,42,36,7,16,,9,11,12,1,50,38,2,10,
116846,40,50,50,0,0,50,0,,50,100,100,100,0,0,0,0,,100,14,29,29,0,0,71,0,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,81,81,0,0,19,0,,81,100,100,100,0,0,0,0,,100,70,70,70,0,0,30,0,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,
117052,34,38,41,1,11,47,6,35,,31,36,38,1,12,49,5,33,,39,42,44,1,11,44,6,38,,18,24,26,1,12,60,4,23,,19,25,28,1,10,61,6,22,,18,24,26,1,14,59,3,23,,34,39,40,0,23,37,7,33,,35,40,40,1,21,38,8,33,,33,37,39,0,25,36,6,33,,13,17,19,1,36,44,1,18,,20,27,29,1,17,53,2,27,,12,16,18,1,39,43,1,17,
