UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8
154013,51,58,58,0,31,11,,,58,39,48,48,0,42,10,,,48,57,62,62,1,26,11,,,62,0,20,20,0,20,60,,,20,0,33,33,0,0,67,,,33,0,0,0,0,50,50,,,0,68,73,74,0,13,13,,,74,69,73,73,0,12,15,,,73,68,74,74,0,13,12,,,74,53,59,59,0,23,18,,,59,67,67,67,0,17,17,,,67,50,57,57,0,24,18,,,57
154022,3,10,11,1,27,61,,1,10,4,11,11,1,27,61,,2,10,2,9,10,1,28,61,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,19,20,1,34,44,,1,20,13,17,18,1,37,45,,1,17,16,21,23,1,32,44,,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,
154059,47,50,51,0,19,30,4,47,,34,36,38,0,21,41,5,33,,57,59,60,1,18,22,4,56,,20,22,23,0,23,53,4,20,,31,37,41,0,18,41,8,33,,16,18,18,1,25,56,2,16,,44,44,44,0,31,25,7,37,,38,38,38,0,41,21,7,31,,49,49,49,0,23,28,8,41,,21,25,26,0,36,38,2,24,,22,25,25,0,38,38,3,22,,21,25,26,0,35,39,1,25,
154095,43,64,65,0,25,9,,,65,35,57,58,1,28,14,,,58,46,67,68,0,24,8,,,68,8,33,37,2,40,21,,,37,0,20,20,0,60,20,,,20,9,34,38,2,38,21,,,38,68,71,72,0,16,12,,,72,62,65,66,1,19,14,,,66,70,74,75,0,14,11,,,75,44,48,50,1,28,21,,,50,48,55,60,0,24,17,,,60,43,45,46,1,30,23,,,46
154101,55,63,64,0,31,5,0,,64,47,53,56,0,38,6,0,,56,58,67,68,0,28,4,0,,68,0,0,0,0,0,100,0,,0,,,,,,,,,,0,0,0,0,0,100,0,,0,64,68,68,0,23,9,0,,68,64,64,64,0,23,14,0,,64,64,70,70,0,23,7,0,,70,50,50,50,0,25,25,0,,50,100,100,100,0,0,0,0,,100,0,0,0,0,50,50,0,,0
154110,46,50,52,0,20,28,17,35,,41,46,47,0,18,34,15,32,,52,55,56,0,22,21,18,39,,16,18,19,1,24,55,7,12,,13,17,17,1,23,58,6,12,,19,19,22,1,25,52,9,13,,47,49,50,0,27,24,13,37,,43,47,47,0,27,27,16,30,,51,52,53,0,27,20,9,44,,40,41,41,0,37,22,6,35,,41,42,42,0,32,26,5,37,,39,40,40,1,40,19,6,34,
154129,70,71,71,0,12,17,28,43,,64,64,64,1,12,22,24,40,,73,74,74,0,12,14,30,45,,30,32,38,0,16,46,14,24,,23,23,31,0,23,46,0,31,,33,38,42,0,13,46,21,21,,65,67,67,0,22,11,9,57,,64,64,64,0,16,20,8,56,,66,69,69,0,28,3,10,59,,40,44,44,1,26,29,15,29,,35,40,40,0,26,35,9,30,,43,47,47,2,27,25,18,28,
154174,0,0,0,0,0,100,,0,0,0,0,0,0,0,100,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,87,87,0,0,13,,27,60,67,83,83,0,0,17,,33,50,72,89,89,0,0,11,,22,67,50,50,50,0,0,50,,38,13,100,100,100,0,0,0,,100,0,33,33,33,0,0,67,,17,17
154235,61,64,64,0,28,7,,,64,45,48,49,1,34,16,,,49,67,70,70,0,26,4,,,70,100,100,100,0,0,0,,,100,,,,,,,,,,100,100,100,0,0,0,,,100,70,71,71,0,20,8,,,71,63,64,64,0,25,10,,,64,74,75,76,0,17,7,,,76,32,35,38,0,29,32,,,38,45,45,55,0,27,18,,,55,26,30,30,0,30,39,,,30
154262,100,100,100,0,0,0,0,100,0,100,100,100,0,0,0,0,100,0,100,100,100,0,0,0,0,100,0,50,50,50,0,50,0,0,50,0,100,100,100,0,0,0,0,100,0,33,33,33,0,67,0,0,33,0,69,69,69,0,2,29,0,67,1,47,47,47,0,2,51,0,45,2,97,97,97,0,3,0,0,97,0,62,62,62,0,9,29,0,13,49,36,36,36,0,12,52,0,24,12,95,95,95,0,5,0,0,0,95
