,INSTNM
2199,Fond du Lac Tribal and Community College
2213,The College of Health Care Professions-Northwest
2224,Pacific Bible College
2232,College of Menominee Nation
2233,Pacific College of Health and Science
2239,New York College of Health Professions
2240,Centura College-Chesapeake
2244,Northwest Vista College
2248,Pacific College
2249,Compu-Med Vocational Careers Corp
2252,Southeastern College-West Palm Beach
2261,Platt College-Ontario
2263,Career Networks Institute
2264,Carolinas College of Health Sciences
2270,Ilisagvik College
2279,University of Management and Technology
2280,Brookline College-Tucson
2283,Cascadia College
2284,CBD College
2291,PCI College
2303,Yeshiva Shaarei Torah of Rockland
2304,American Institute of Alternative Medicine
2312,St Louis College of Health Careers-Fenton
2316,Pacific College of Health and Science
2319,Family of Faith Christian University
2325,InterCoast Colleges-West Covina
2326,American College of Healthcare Sciences
2327,Miller-Motte College-Chattanooga
2334,ATI College-Whittier
2338,Charlotte Christian College and Theological Seminary
2352,Cambridge College of Healthcare & Technology
2353,ATA Career Education
2357,SAE Institute of Technology-Nashville
2358,Stanbridge University
2361,Daytona College
2362,United States University
2367,California Career College
2385,Strayer University-Delaware
2400,ATA College-Cincinnati
2401,Galen College of Nursing-Cincinnati
2413,Cambridge College of Healthcare & Technology
2426,Geisinger Commonwealth School of Medicine
2429,Homestead Schools
2431,Horizon University
2433,Angeles College
2436,Ambria College of Nursing
2441,Strayer University-Arkansas
2447,Gurnick Academy of Medical Arts
2451,Touro University California
2465,American Medical Sciences Center
2466,Jose Maria Vargas University
2483,Whitworth University-Adult Degree Programs
2491,American Medical Academy
2494,Sessions College for Professional Design
2498,Colorado State University Global
2502,Warner Pacific University Professional and Graduate Studies
2503,Platt College-Riverside
2504,Florida Institute of Technology-Online
2505,Rasmussen University-Kansas
2516,South University-High Point
2536,Texas A&M University-Central Texas
2539,Integrity College of Health
2540,Ana G. Mendez University
2550,Georgia Military College
2564,Valor Christian College
2581,Felbry College
2582,Martinsburg College
2584,Central Yeshiva Beth Joseph
2586,Elim Bible Institute and College
2590,Seattle Film Institute
2594,Indiana Wesleyan University-National & Global
2595,John Patrick University of Health and Applied Sciences
2600,Chamberlain University-North Carolina
2601,Chamberlain University-California
2605,Presbyterian Theological Seminary in America
2610,Bolivar Technical College
2611,Reformed University
2613,California Institute of Arts & Technology
2615,Mechon L'hoyroa
2621,Platt College-Anaheim
2623,The Chicago School at San Diego
2637,EDP University of Puerto Rico-Villalba
2641,Chamberlain University-Louisiana
2645,San Diego Global Knowledge University
2649,Professional University Dr. Carlos J. Borrero Rios
2652,College Unbound
2656,Arizona College of Nursing-Dallas
2657,EDP University of Puerto Rico-Humacao
2658,EDP University of Puerto Rico-Manati
2666,North-West College-San Diego
