UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8   
100654,10,27,29,2,34,34,0,.,29,7,23,26,2,34,37,0,.,26,18,37,40,2,33,25,0,.,40,5,13,15,2,37,46,0,.,15,5,16,19,2,40,38,0,.,19,3,5,5,3,28,64,0,.,5,48,57,60,1,21,18,0,.,60,45,55,58,1,23,18,0,.,58,53,61,63,0,18,19,0,.,63,19,29,29,0,34,37,0,.,29,24,29,29,0,37,34,0,.,29,13,29,29,0,29,42,0,.,29
100663,38,61,63,1,21,15,0,.,63,25,51,54,1,25,21,0,.,54,46,66,69,1,19,11,0,.,69,13,34,37,5,24,34,0,.,37,7,33,40,7,20,33,0,.,40,17,35,35,4,26,35,0,.,35,54,61,63,0,19,18,0,.,63,46,54,56,1,23,20,0,.,56,61,68,69,0,16,16,0,.,69,28,35,37,1,23,39,0,.,37,33,44,45,1,23,31,0,.,45,26,32,34,1,23,43,0,.,34
100690,11,11,11,0,33,56,.,0,11,0,0,0,0,43,57,.,0,0,50,50,50,0,0,50,.,0,50,0,0,0,0,67,33,.,0,0,0,0,0,0,75,25,.,0,0,0,0,0,0,50,50,.,0,0,23,27,29,0,25,46,.,0,29,22,25,25,0,23,52,.,0,25,26,37,47,0,32,21,.,0,47,20,23,23,0,33,43,.,0,23,8,12,12,0,36,52,.,0,12,80,80,80,0,20,0,.,0,80
100706,31,57,61,2,24,13,0,.,61,22,49,52,2,28,19,0,.,52,34,60,65,2,23,11,0,.,65,5,15,15,0,50,35,0,.,15,17,17,17,0,50,33,0,.,17,0,14,14,0,50,36,0,.,14,53,60,63,1,23,14,0,.,63,48,57,59,1,25,16,0,.,59,56,63,66,0,21,13,0,.,66,28,40,43,1,33,22,0,.,43,28,43,46,0,33,21,0,.,46,28,39,42,2,34,22,0,.,42
100724,13,29,32,0,35,33,.,.,32,12,28,31,0,38,31,.,.,31,21,34,36,0,20,44,.,.,36,0,3,5,0,13,82,.,.,5,0,5,5,0,19,76,.,.,5,0,0,6,0,6,88,.,.,6,41,48,49,0,36,15,.,.,49,37,45,47,0,37,16,.,.,47,58,58,58,0,30,12,.,.,58,5,15,15,0,45,40,.,.,15,0,7,7,0,50,43,.,.,7,17,33,33,0,33,33,.,.,33
100751,52,72,73,0,21,5,0,.,73,35,56,59,1,30,11,0,.,59,56,76,77,0,20,4,0,.,77,15,24,24,0,53,24,0,.,24,30,50,50,0,20,30,0,.,50,8,13,13,0,67,21,0,.,13,61,68,69,0,20,10,0,.,69,56,63,64,0,22,14,0,.,64,65,72,72,0,19,8,0,.,72,37,46,48,1,29,21,0,.,48,41,51,53,3,29,16,0,.,53,36,45,47,1,29,23,0,.,47
100760,30,31,32,0,29,38,3,29,.,23,24,25,0,27,48,3,22,.,42,44,45,0,33,21,4,41,.,12,13,13,0,37,49,2,11,.,10,11,11,1,33,56,2,8,.,16,17,19,0,46,36,3,16,.,27,30,30,0,34,36,3,27,.,23,27,27,0,31,42,4,23,.,39,39,39,0,44,17,0,39,.,13,16,16,0,48,36,5,11,.,16,22,22,0,50,28,3,19,.,12,12,12,0,47,41,6,6,.
100812,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,65,67,1,9,23,1,.,66,58,64,67,2,7,24,1,.,66,63,66,67,1,10,22,0,.,67,41,50,53,2,17,28,1,.,52,38,49,52,2,15,32,1,.,51,43,50,54,2,18,26,1,.,52
100830,9,29,33,2,39,26,0,.,33,5,24,27,1,43,29,0,.,27,15,36,40,2,34,23,0,.,40,1,8,12,5,29,53,0,.,12,0,9,12,9,27,52,0,.,12,3,8,13,3,30,55,0,.,13,41,45,46,1,40,13,0,.,46,33,38,40,1,45,13,0,.,40,48,53,53,0,34,13,0,.,53,38,42,45,0,37,18,0,.,45,33,38,40,0,43,17,0,.,40,40,45,48,0,34,18,0,.,48
100858,51,79,80,0,15,5,0,.,80,39,66,68,1,21,10,0,.,68,53,81,82,0,14,4,0,.,82,14,49,51,0,35,14,0,.,51,0,50,50,0,33,17,0,.,50,16,49,51,0,35,14,0,.,51,65,75,76,1,16,8,0,.,76,57,65,67,1,21,11,0,.,67,68,79,80,0,13,6,0,.,80,42,52,53,1,30,16,0,.,53,43,49,53,0,27,20,0,.,53,41,53,53,2,31,14,0,.,53
