UNITID,TUFEYR0,TUFEYR1,TUFEYR2,TUFEYR3,CINDON,CINSON,COTSON,CINDOFF,CINSOFF,COTSOFF,CINDFAM,CINSFAM,COTSFAM 
100654,10024,10024,10024,10024,24234,24234,32844,24234,24234,32844,15064,15064,23674
100663,8568,8568,8568,8832,28909,28909,41293,30369,30369,42753,16039,16039,28423
100706,11122,11338,11488,11878,29878,29878,42770,29878,29878,42770,18756,18756,31648
100724,11068,11068,11068,11068,22110,22110,30438,25118,25118,33446,17798,17798,26126
100751,10780,11620,11620,11940,32024,32024,52384,32024,32024,52384,18768,18768,39128
100760,4870,4930,4930,4990,.,.,.,27128,27128,30878,12764,12764,16514
100830,8620,8860,8860,9100,21698,21698,31946,24815,24815,35063,14330,14330,24578
100858,11492,11796,11826,12176,34402,34402,55186,34402,34402,55186,19404,19404,40188
100937,18238,18900,20100,21250,39020,39020,39020,34520,34520,34520,26520,26520,26520
101028,4860,4920,4920,4980,.,.,.,14856,14856,18606,9256,9256,13006
101116,17014,17014,17014,17014,.,.,.,33875,33875,33875,23568,23568,23568
101143,4800,4860,4860,4920,.,.,.,26166,26166,29916,11766,11766,15516
101161,4800,4860,4860,4920,17720,17720,21470,18520,18520,22270,11170,11170,14920
101189,22310,22990,23490,23920,38340,38340,38340,38340,38340,38340,30320,30320,30320
101240,3888,3936,3936,3984,12708,12708,15708,13000,13000,16000,8500,8500,11500
101286,4740,4800,4800,4860,.,.,.,16510,16510,20260,7060,7060,10810
101295,4800,4860,4860,4920,20540,20540,24290,29180,29180,32930,15640,15640,19390
101301,4500,4560,4560,4620,.,.,.,15520,15520,19270,8120,8120,11870
101365,14200,14200,14200,12750,.,.,.,27195,27195,27195,15351,15351,15351
101435,27400,27900,27900,28350,41490,41490,41490,39490,39490,39490,30718,30718,30718
101453,11532,11532,11632,11632,21737,21737,21737,31649,31649,31649,16304,16304,16304
101462,4770,4830,4830,4890,.,.,.,18890,18890,22640,9290,9290,13040
101471,5400,5472,5472,4860,.,.,.,.,.,.,.,.,.
101480,11120,11120,11120,11952,23990,23990,33950,26240,26240,36200,16268,16268,26228
101505,5790,5850,4920,5220,.,.,.,27456,27456,31146,11535,11535,15225
101514,4880,4940,4940,5000,.,.,.,17350,17350,21100,11850,11850,15600
101569,4800,4860,4860,4920,14980,14980,18730,20587,20587,24337,13027,13027,16777
101587,10990,10990,10990,10990,23626,23626,32726,23006,23006,32106,15806,15806,24906
