UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
170532,74,72,76,15,15,15,15,15,15,0,0,0
170639,69,71,69,27,31,25,26,29,24,1,1,1
170675,82,82,83,17,18,16,17,18,16,0,0,0
170806,68,73,65,36,43,31,36,43,30,1,1,1
170967,99,99,100,37,46,31,36,45,30,1,2,1
170976,26,24,28,41,40,41,40,40,40,0,0,0
171100,76,74,78,24,24,24,23,23,24,1,1,1
171128,70,71,69,23,25,19,23,25,19,0,0,0
171137,68,69,67,20,24,17,19,23,16,1,1,1
171146,77,76,78,18,19,17,17,18,16,1,1,1
171456,67,67,67,33,34,31,32,34,31,0,0,0
171492,77,77,76,33,34,31,30,31,29,2,2,2
171571,81,84,79,23,25,22,23,25,21,0,1,0
171599,85,83,88,23,25,21,23,24,21,1,1,0
171881,59,57,60,32,30,33,22,30,18,9,0,14
172033,100,100,,100,100,,0,0,,100,100,
172051,89,89,90,22,23,22,22,23,22,1,1,0
172264,74,73,76,26,26,26,26,26,25,0,0,0
172334,63,63,63,22,28,19,22,28,19,0,0,0
172440,83,82,85,11,11,10,10,10,9,1,0,1
172644,69,70,69,26,26,27,26,25,26,1,1,1
172699,85,84,86,19,20,17,18,20,17,1,1,0
173045,73,65,79,28,31,26,28,31,26,0,0,0
173124,69,71,68,24,27,22,24,26,22,0,1,0
173142,65,66,63,36,42,31,36,42,31,0,0,0
173160,87,87,87,33,37,31,33,37,31,0,0,0
173258,21,21,21,31,32,30,31,32,30,0,0,0
173300,58,50,66,21,23,20,21,23,20,0,0,0
173328,69,63,72,23,27,20,22,26,20,1,0,1
173452,87,86,89,81,84,79,81,84,79,0,0,0
173647,71,65,75,18,19,17,18,19,17,0,0,0
173665,69,65,71,15,14,15,15,14,15,0,0,0
173902,39,39,39,22,23,22,22,23,22,0,0,0
173920,67,65,69,33,33,32,32,32,31,1,1,1
173957,31,38,30,88,75,91,88,75,91,0,0,0
174020,62,55,66,24,28,23,19,24,16,6,3,7
174066,70,68,71,22,22,23,22,22,23,0,0,0
174075,72,68,76,17,16,18,16,15,17,1,1,1
174127,55,54,55,41,47,38,41,47,38,0,0,0
174154,92,94,92,67,67,67,47,53,47,20,13,21
174233,79,76,81,25,27,23,24,26,23,0,0,0
174251,65,64,65,10,10,10,10,10,9,0,0,0
174358,66,55,74,30,29,31,29,28,30,1,1,1
174437,93,91,94,37,44,33,36,43,33,1,1,0
174491,92,89,94,37,35,39,36,33,37,2,2,2
174525,63,57,71,33,31,35,33,31,35,0,0,0
174747,84,,84,26,,26,26,,26,0,,0
174783,73,71,75,27,30,24,25,28,23,2,2,2
174792,81,81,,32,32,,32,32,,0,0,
174817,84,93,79,19,21,18,19,21,18,0,0,0
174844,51,48,53,27,28,27,27,28,27,0,0,0
174862,47,42,55,36,31,42,33,29,38,3,2,4
174899,73,63,80,23,24,23,23,24,23,0,0,0
174914,87,87,88,24,26,22,24,26,22,0,0,0
175005,76,100,76,26,25,26,25,0,25,1,25,1
175078,81,80,81,23,26,22,23,25,21,0,0,0
175227,97,99,85,73,73,73,71,71,70,2,2,2
175272,75,69,78,25,27,24,25,27,24,0,0,0
175342,38,36,39,16,19,14,15,19,14,0,0,0
175421,50,54,46,24,27,22,22,25,20,2,2,2
175430,99,98,100,49,61,41,49,61,41,0,0,0
175616,100,99,100,22,20,24,21,19,23,1,1,1
175856,90,86,92,7,9,6,7,9,6,0,0,0
175980,70,68,71,9,11,7,9,11,7,0,0,0
176017,88,86,89,21,22,20,21,22,20,0,0,0
176035,99,99,99,37,46,35,35,43,33,2,4,2
