UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
100654,92,89,93,19,23,18,19,23,18,0,0,0
100663,74,77,72,38,40,37,38,39,37,1,1,1
100706,83,86,78,34,39,28,34,38,28,0,0,0
100724,97,96,98,16,19,15,16,19,15,0,1,0
100751,83,83,82,21,24,20,21,24,20,0,0,0
100830,90,91,90,17,18,16,16,17,16,1,1,1
100858,81,82,80,29,33,27,29,33,26,0,0,0
100937,54,59,50,18,20,17,18,20,17,0,0,0
101189,78,86,71,29,32,26,27,30,24,2,2,1
101365,78,83,75,76,71,80,20,0,37,56,71,43
101435,59,59,59,18,20,17,18,20,17,0,0,0
101453,24,25,0,100,100,,0,0,,100,100,
101480,55,56,54,27,28,26,26,28,25,0,1,0
101541,37,,37,26,,26,26,,26,0,,0
101587,35,35,35,12,14,11,12,14,11,0,0,0
101648,58,63,47,48,49,45,48,49,45,0,0,0
101693,46,44,47,22,26,20,22,26,20,0,0,0
101709,53,52,54,17,20,15,16,20,15,0,0,0
101879,89,90,88,43,42,44,43,41,44,0,1,0
101912,65,62,66,26,33,22,26,33,22,0,0,0
102049,83,79,86,28,27,28,28,27,28,0,0,0
102094,79,76,80,32,33,32,32,33,32,0,0,0
102234,50,51,49,8,9,7,8,9,7,0,0,0
102270,33,39,35,26,38,22,26,37,22,0,1,0
102368,88,87,88,31,32,31,26,27,25,5,5,5
102377,52,49,53,9,11,9,9,11,8,0,0,0
102553,83,84,82,45,46,44,33,35,31,11,10,12
102614,76,76,76,65,67,64,51,57,47,14,10,17
102632,61,64,59,58,62,55,37,42,34,21,20,22
102669,89,90,89,17,16,17,15,13,16,1,2,1
104151,86,85,88,34,36,32,34,36,32,0,0,0
104179,85,83,86,22,22,22,17,18,17,5,4,5
104586,66,66,64,31,30,31,31,30,31,0,0,0
104717,77,83,82,23,23,23,20,20,20,3,3,4
105330,85,82,86,17,19,17,15,16,15,2,3,2
105589,97,94,99,23,27,21,22,27,20,0,0,1
105899,68,68,69,78,78,76,77,78,74,1,0,3
106245,66,66,66,44,48,41,42,47,40,2,1,2
106342,44,45,44,16,16,17,16,16,17,0,0,0
106397,77,76,78,33,37,31,33,37,30,0,0,0
106412,44,43,45,22,27,19,21,26,18,0,0,0
106458,80,79,81,37,38,37,36,36,36,1,1,1
106467,95,94,95,31,35,27,29,34,26,1,1,2
106546,100,100,100,83,100,75,83,100,75,0,0,0
106704,90,88,92,38,40,36,38,40,36,0,0,0
106713,40,39,41,50,50,49,50,50,49,0,0,0
107044,61,63,60,71,70,73,71,70,72,0,0,0
107071,76,75,76,27,32,24,27,32,24,0,0,0
107080,70,68,72,25,26,24,25,26,24,0,0,0
107141,76,80,74,36,41,33,36,41,33,0,0,0
107512,61,60,63,28,32,26,28,32,26,0,0,0
107558,50,51,50,22,28,19,22,28,19,0,0,0
107585,76,75,76,51,50,51,40,42,39,10,7,12
107877,59,56,61,33,38,28,33,38,28,0,0,0
107983,65,64,66,33,40,29,33,39,29,0,0,0
108852,78,74,81,41,46,38,41,46,38,0,0,0
109086,,,,,,,,,,,,
109651,71,62,76,37,44,34,37,44,34,0,0,0
109785,67,64,70,13,13,12,12,13,12,0,0,0
110097,70,69,70,31,35,29,30,34,28,0,1,0
110361,78,78,79,24,25,23,23,25,22,0,1,0
110370,85,81,86,11,13,11,11,13,11,0,0,0
110404,6,5,11,44,49,39,44,49,39,0,0,0
110413,71,69,73,15,17,13,15,17,13,0,0,0
110422,28,25,32,30,33,28,30,32,28,0,0,0
110468,67,60,70,30,0,43,0,0,0,30,0,43
110486,81,77,83,15,14,16,15,14,16,0,0,0
110495,89,87,91,20,19,21,19,18,20,1,1,1
110510,69,65,71,26,27,25,25,27,25,0,0,0
110529,55,48,62,17,19,16,17,18,15,0,0,0
110538,72,67,77,14,15,13,14,15,13,0,0,0
110547,77,71,81,16,16,16,15,15,15,1,1,1
110556,58,55,60,32,33,31,31,33,30,1,1,0
110565,53,49,55,18,19,17,18,19,17,0,0,0
110574,76,73,78,12,12,11,12,12,11,0,0,0
110583,39,37,41,18,20,17,18,20,17,0,0,0
110592,48,45,50,20,23,19,20,22,19,0,0,0
110608,59,55,63,26,28,25,26,27,25,0,0,0
110617,82,79,84,18,19,18,18,19,17,0,0,0
110635,16,14,18,45,48,43,45,48,43,0,0,0
110644,39,34,43,20,18,21,19,17,21,0,0,0
110653,27,25,28,24,24,24,24,24,24,0,0,0
110662,12,12,13,43,39,46,43,39,46,0,0,0
110671,57,55,58,17,18,16,17,18,16,0,0,0
110680,31,32,31,19,21,18,19,21,18,0,0,0
