UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
100654,"R",1525,"R",1712,"R",89,"R",1688,"R",2,"R",0,"R",1686,"R",911,"R",54,"R",6,"R",0,"R",0,"R",6,"R",2,"R",33,"R",18
100663,"R",2102,"R",3661,"R",57,"R",2294,"R",0,"R",0,"R",2294,"R",1982,"R",86,"R",42,"R",0,"R",0,"R",42,"R",20,"R",48,"R",20
100690,"A",,"A",,"A",,"R",2,"Z",0,"Z",0,"R",2,"R",1,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"R",13
100706,"R",1328,"R",2186,"R",61,"R",1489,"R",0,"R",0,"R",1489,"R",1218,"R",82,"R",8,"R",0,"R",0,"R",8,"R",2,"R",25,"R",19
100724,"R",926,"R",1123,"R",82,"R",1000,"R",2,"R",0,"R",998,"R",619,"R",62,"R",19,"R",0,"R",0,"R",19,"R",1,"R",5,"R",15
100751,"R",6466,"R",7948,"R",81,"R",6734,"R",2,"R",0,"R",6732,"R",5872,"R",87,"R",30,"R",0,"R",0,"R",30,"R",17,"R",57,"R",20
100760,"R",225,"R",642,"R",35,"R",328,"R",0,"R",0,"R",328,"R",194,"R",59,"R",68,"R",0,"R",0,"R",68,"R",26,"R",38,"R",15
100812,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",15
100830,"R",641,"R",1072,"R",60,"R",602,"R",1,"R",0,"R",601,"R",419,"R",70,"R",24,"R",0,"R",0,"R",24,"R",8,"R",33,"R",16
100858,"R",4869,"R",6014,"R",81,"R",4761,"R",2,"Z",0,"R",4759,"R",4377,"R",92,"R",47,"R",2,"Z",0,"R",45,"R",34,"R",76,"R",20
100937,"R",256,"R",298,"R",86,"R",332,"R",0,"R",0,"R",332,"R",264,"R",80,"A",,"A",,"A",,"A",,"A",,"A",,"R",10
101028,"R",191,"R",501,"R",38,"R",260,"R",0,"R",0,"R",260,"R",144,"R",55,"R",67,"R",0,"R",0,"R",67,"R",24,"R",36,"R",13
101116,"R",5,"R",37,"R",14,"R",10,"R",0,"R",0,"R",10,"R",6,"R",60,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",10
101143,"R",316,"R",780,"R",41,"R",359,"R",0,"R",0,"R",359,"R",214,"R",60,"R",45,"R",0,"R",0,"R",45,"R",16,"R",36,"R",16
101161,"R",1065,"R",2824,"R",38,"R",1336,"Z",0,"R",0,"R",1336,"R",728,"R",54,"R",209,"Z",0,"Z",0,"R",209,"R",60,"R",29,"R",15
101189,"R",277,"R",867,"R",32,"R",258,"R",0,"R",0,"R",258,"R",156,"R",60,"R",15,"R",0,"R",0,"R",15,"R",5,"R",33,"R",13
101240,"R",637,"R",1445,"R",44,"R",812,"R",0,"R",0,"R",812,"R",435,"R",54,"R",231,"R",0,"R",0,"R",231,"R",87,"R",38,"R",15
101277,"A",,"A",,"A",,"R",49,"R",0,"R",0,"R",49,"R",38,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"R",22
101286,"R",381,"R",1205,"R",32,"R",686,"Z",0,"Z",0,"R",686,"R",378,"R",55,"R",224,"Z",0,"Z",0,"R",224,"R",104,"R",46,"R",13
101295,"R",925,"R",2212,"R",42,"R",967,"R",0,"R",0,"R",967,"R",619,"R",64,"R",275,"R",0,"R",0,"R",275,"R",147,"R",53,"R",17
101301,"R",179,"R",528,"R",34,"R",242,"R",0,"R",0,"R",242,"R",139,"R",57,"R",35,"R",0,"R",0,"R",35,"R",6,"R",17,"R",11
101365,"R",16,"R",219,"R",7,"R",1,"Z",0,"Z",0,"R",1,"R",1,"R",100,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"A",,"R",14
101435,"R",219,"R",248,"R",88,"R",256,"R",0,"R",0,"R",256,"R",179,"R",70,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",13
101453,"R",2,"R",17,"R",12,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",7
101462,"R",63,"R",389,"R",16,"R",74,"R",0,"R",0,"R",74,"R",37,"R",50,"R",52,"R",0,"Z",0,"R",52,"R",14,"R",27,"R",13
101471,"R",91,"R",132,"R",69,"R",176,"R",0,"R",0,"R",176,"R",115,"R",65,"R",59,"R",0,"R",0,"R",59,"R",27,"R",46,"R",6
101480,"R",1290,"R",2572,"R",50,"R",1469,"R",0,"R",0,"R",1469,"R",1078,"R",73,"R",24,"R",0,"R",0,"R",24,"R",12,"R",50,"R",21
