UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
235750,"R",275,"R",746,"R",37,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",12
236018,"A",,"A",,"A",,"R",2,"R",0,"R",0,"R",2,"R",2,"R",100,"A",,"A",,"A",,"A",,"A",,"A",,"R",3
236072,"R",336,"R",2571,"R",13,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",16
236133,"R",157,"R",239,"R",66,"R",159,"R",0,"R",0,"R",159,"R",122,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"R",11
236188,"R",622,"R",1700,"R",37,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",18
236212,"A",,"A",,"A",,"R",206,"R",0,"R",0,"R",206,"R",162,"R",79,"A",,"A",,"A",,"A",,"A",,"A",,"R",14
236230,"R",510,"R",630,"R",81,"R",587,"R",0,"R",0,"R",587,"R",461,"R",79,"R",2,"R",0,"R",0,"R",2,"R",1,"R",50,"R",11
236258,"R",136,"R",548,"R",25,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",16
236328,"R",409,"R",444,"R",92,"R",383,"R",0,"R",0,"R",383,"R",337,"R",88,"R",10,"R",0,"R",0,"R",10,"R",8,"R",80,"R",9
236382,"R",114,"R",787,"R",14,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",10
236452,"R",345,"R",478,"R",72,"R",288,"R",0,"R",0,"R",288,"R",229,"R",80,"R",4,"R",0,"R",0,"R",4,"R",0,"R",0,"R",11
236504,"R",310,"R",1838,"R",17,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",24
236513,"R",516,"R",2129,"R",24,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",18
236577,"R",575,"R",771,"R",75,"R",651,"R",0,"R",0,"R",651,"R",533,"R",82,"R",4,"R",0,"R",0,"R",4,"R",0,"R",0,"R",13
236595,"R",989,"R",1347,"R",73,"R",798,"R",0,"Z",0,"R",798,"R",679,"R",85,"R",7,"R",0,"Z",0,"R",7,"R",4,"R",57,"R",11
236610,"R",242,"R",1305,"R",19,"R",256,"Z",0,"Z",0,"R",256,"R",161,"R",63,"R",161,"Z",0,"Z",0,"R",161,"R",70,"R",43,"R",12
236638,"R",555,"R",1288,"R",43,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",18
236656,"R",401,"R",969,"R",41,"R",419,"Z",0,"Z",0,"R",419,"R",266,"R",63,"R",197,"Z",0,"Z",0,"R",197,"R",93,"R",47,"R",13
236692,"R",827,"R",2332,"R",35,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",17
236708,"R",738,"R",1474,"R",50,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",14
236744,"A",,"A",,"A",,"R",18,"R",0,"R",0,"R",18,"R",15,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"R",12
236753,"R",666,"R",1834,"R",36,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",16
236887,"R",198,"R",590,"R",34,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",0,"Z",0,"Z",0,"R",0,"R",0,"A",,"R",15
236896,"R",276,"R",388,"R",71,"R",280,"R",0,"Z",0,"R",280,"R",216,"R",77,"R",1,"R",0,"R",0,"R",1,"R",1,"R",100,"R",13
236939,"R",3872,"R",6493,"R",60,"R",4040,"R",0,"R",0,"R",4040,"R",3267,"R",81,"R",151,"R",0,"R",0,"R",151,"R",85,"R",56,"R",15
