INSTNM,STABBR,CNTLAFFI,IS_R1,COREXP,ENRTOT
California State University-East Bay,CA,1.0,0,299172459.0,12326.0
California State University-Long Beach,CA,1.0,0,810557560.0,42003.0
California State University-Los Angeles,CA,1.0,0,534620595.0,23163.0
California State University-Northridge,CA,1.0,0,742771665.0,38313.0
California State University-Sacramento,CA,1.0,0,680849120.0,31943.0
University of California-Berkeley,CA,1.0,1,3957282371.0,45882.0
University of California-Davis,CA,1.0,1,3478264305.0,40065.0
University of California-Irvine,CA,1.0,1,2654420102.0,37297.0
University of California-Los Angeles,CA,1.0,1,7579399969.0,47335.0
University of California-Riverside,CA,1.0,1,1333819602.0,26384.0
University of California-San Diego,CA,1.0,1,4705952013.0,44256.0
University of California-San Francisco,CA,1.0,1,3462593007.0,3007.0
University of California-Santa Barbara,CA,1.0,1,1186246221.0,26133.0
University of California-Santa Cruz,CA,1.0,1,982531458.0,19938.0
Sofia University,CA,2.0,0,11524329.0,1145.0
Haven University,CA,4.0,0,820120.0,123.0
California Institute of the Arts,CA,3.0,0,87653548.0,1277.0
California State University Maritime Academy,CA,1.0,0,62549265.0,837.0
California Western School of Law,CA,3.0,0,27863249.0,650.0
Casa Loma College-Los Angeles,CA,3.0,0,11438565.0,759.0
Chapman University,CA,4.0,0,426840000.0,9760.0
Charles R Drew University of Medicine and Science,CA,3.0,0,95957600.0,852.0
Concordia University-Irvine,CA,4.0,0,81375051.0,3658.0
San Diego Christian College,CA,4.0,0,3947732.0,96.0
Church Divinity School of the Pacific,CA,4.0,0,5516749.0,40.0
Claremont Graduate University,CA,3.0,0,63083652.0,1771.0
Claremont McKenna College,CA,3.0,0,150239000.0,1393.0
University of Silicon Valley,CA,2.0,0,14056990.0,477.0
Western University of Health Sciences,CA,3.0,0,239180961.0,3665.0
California College of ASU,CA,3.0,0,5258948.0,71.0
Crafton Hills College,CA,1.0,0,58179587.0,6768.0
Cypress College,CA,1.0,0,206669356.0,15924.0
Design Institute of San Diego,CA,2.0,0,3629101.0,94.0
Dominican University of California,CA,3.0,0,62837022.0,1900.0
Dominican School of Philosophy & Theology,CA,4.0,0,3076509.0,55.0
Emperor's College of Traditional Oriental Medicine,CA,2.0,0,3445785.0,150.0
FIDM-Fashion Institute of Design & Merchandising,CA,2.0,0,32354253.0,564.0
Feather River Community College District,CA,1.0,0,29075685.0,2055.0
Fielding Graduate University,CA,3.0,0,25539910.0,915.0
Five Branches University,CA,2.0,0,4393908.0,321.0
Foothill College,CA,1.0,0,117944435.0,12949.0
Franciscan School of Theology,CA,4.0,0,3062885.0,89.0
Fresno City College,CA,1.0,0,271080506.0,28071.0
Fresno Pacific University,CA,4.0,0,62484863.0,2879.0
Fuller Theological Seminary,CA,4.0,0,53861000.0,1890.0
Glendale Career College,CA,2.0,0,14018754.0,896.0
Golden Gate University,CA,3.0,0,55249724.0,3098.0
Graduate Theological Union,CA,3.0,0,10691802.0,150.0
Harvey Mudd College,CA,3.0,0,73320831.0,951.0
Pacifica Graduate Institute,CA,2.0,0,20378021.0,833.0
California State Polytechnic University-Humboldt,CA,1.0,0,285079710.0,6237.0
Humphreys University-Stockton and Modesto Campuses,CA,3.0,0,8822796.0,699.0
Interior Designers Institute,CA,2.0,0,1963525.0,102.0
American Jewish University,CA,4.0,0,19377878.0,424.0
Life Pacific University,CA,4.0,0,12267473.0,621.0
University of La Verne,CA,3.0,0,132372877.0,5021.0
Laguna College of Art and Design,CA,3.0,0,19991653.0,775.0
Life Chiropractic College West,CA,3.0,0,26396282.0,618.0
Lincoln University,CA,3.0,0,7596275.0,436.0
Southern California Seminary,CA,4.0,0,2819850.0,161.0
La Sierra University,CA,4.0,0,69315065.0,1574.0
Loma Linda University,CA,4.0,0,274015000.0,4210.0
Southern California University of Health Sciences,CA,3.0,0,51364396.0,2008.0
Los Angeles Valley College,CA,1.0,0,179081985.0,15999.0
The Master's University and Seminary,CA,4.0,0,47817606.0,2860.0
Los Angeles Mission College,CA,1.0,0,114877057.0,10690.0
Loyola Marymount University,CA,4.0,0,449154000.0,10179.0
Menlo College,CA,3.0,0,29105863.0,810.0
