UNITID,OM1TOTLAWDP4,OM1TOTLAWDP6,OM1TOTLAWDP8,OM1TOTLENYP8,OM1TOTLENAP8,OM1TOTLENUP8,OM1TOTLCRTP8,OM1TOTLASCP8,OM1TOTLBACP8,OM1PELLAWDP4,OM1PELLAWDP6,OM1PELLAWDP8,OM1PELLENYP8,OM1PELLENAP8,OM1PELLENUP8,OM1PELLCRTP8,OM1PELLASCP8,OM1PELLBACP8,OM1NPELAWDP4,OM1NPELAWDP6,OM1NPELAWDP8,OM1NPELENYP8,OM1NPELENAP8,OM1NPELENUP8,OM1NPELCRTP8,OM1NPELASCP8,OM1NPELBACP8,OM2TOTLAWDP4,OM2TOTLAWDP6,OM2TOTLAWDP8,OM2TOTLENYP8,OM2TOTLENAP8,OM2TOTLENUP8,OM2TOTLCRTP8,OM2TOTLASCP8,OM2TOTLBACP8,OM2PELLAWDP4,OM2PELLAWDP6,OM2PELLAWDP8,OM2PELLENYP8,OM2PELLENAP8,OM2PELLENUP8,OM2PELLCRTP8,OM2PELLASCP8,OM2PELLBACP8,OM2NPELAWDP4,OM2NPELAWDP6,OM2NPELAWDP8,OM2NPELENYP8,OM2NPELENAP8,OM2NPELENUP8,OM2NPELCRTP8,OM2NPELASCP8,OM2NPELBACP8,OM3TOTLAWDP4,OM3TOTLAWDP6,OM3TOTLAWDP8,OM3TOTLENYP8,OM3TOTLENAP8,OM3TOTLENUP8,OM3TOTLCRTP8,OM3TOTLASCP8,OM3TOTLBACP8,OM3PELLAWDP4,OM3PELLAWDP6,OM3PELLAWDP8,OM3PELLENYP8,OM3PELLENAP8,OM3PELLENUP8,OM3PELLCRTP8,OM3PELLASCP8,OM3PELLBACP8,OM3NPELAWDP4,OM3NPELAWDP6,OM3NPELAWDP8,OM3NPELENYP8,OM3NPELENAP8,OM3NPELENUP8,OM3NPELCRTP8,OM3NPELASCP8,OM3NPELBACP8,OM4TOTLAWDP4,OM4TOTLAWDP6,OM4TOTLAWDP8,OM4TOTLENYP8,OM4TOTLENAP8,OM4TOTLENUP8,OM4TOTLCRTP8,OM4TOTLASCP8,OM4TOTLBACP8,OM4PELLAWDP4,OM4PELLAWDP6,OM4PELLAWDP8,OM4PELLENYP8,OM4PELLENAP8,OM4PELLENUP8,OM4PELLCRTP8,OM4PELLASCP8,OM4PELLBACP8,OM4NPELAWDP4,OM4NPELAWDP6,OM4NPELAWDP8,OM4NPELENYP8,OM4NPELENAP8,OM4NPELENUP8,OM4NPELCRTP8,OM4NPELASCP8,OM4NPELBACP8   
457110,85,85,85,2,0,14,73,12,.,94,94,94,3,0,3,75,19,.,74,74,74,0,0,26,70,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,87,87,88,0,2,10,10,78,.,91,91,93,0,2,5,16,77,.,85,85,85,0,2,14,6,79,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
457129,0,0,0,0,100,0,.,.,0,0,0,0,0,100,0,.,.,0,0,0,0,0,100,0,.,.,0,0,0,0,0,50,50,.,.,0,0,0,0,0,100,0,.,.,0,0,0,0,0,0,100,.,.,0,67,71,71,1,16,12,.,.,71,64,67,67,1,19,14,.,.,67,72,78,78,1,12,10,.,.,78,55,56,56,0,29,15,.,.,56,58,59,59,0,30,11,.,.,59,51,53,53,0,26,21,.,.,53
457226,0,33,67,0,0,33,0,0,67,0,50,100,0,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,.,.,.,.,.,.,.,.,.,25,25,25,0,0,75,0,0,25,.,.,.,.,.,.,.,.,.,25,25,25,0,0,75,0,0,25,30,30,30,0,0,70,0,10,20,50,50,50,0,0,50,0,0,50,17,17,17,0,0,83,0,17,0
457299,78,78,78,0,0,22,72,0,6,68,68,68,0,0,32,68,0,0,92,92,92,0,0,8,77,0,15,85,85,85,0,0,15,85,0,0,.,.,.,.,.,.,.,.,.,85,85,85,0,0,15,85,0,0,58,58,58,0,0,42,58,0,0,44,44,44,0,0,56,44,0,0,80,80,80,0,0,20,80,0,0,86,86,86,0,0,14,86,0,0,.,.,.,.,.,.,.,.,.,86,86,86,0,0,14,86,0,0
457402,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,100,100,0,0,0,.,100,0,.,.,.,.,.,.,.,.,.,100,100,100,0,0,0,.,100,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,100,.,0,0,.,.,.,.,.,.,.,.,.,0,0,0,0,0,100,.,0,0
457484,73,73,77,7,17,0,0,37,40,75,75,75,6,19,0,0,31,44,71,71,79,7,14,0,0,43,36,0,0,0,50,50,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
457527,55,64,64,9,27,0,64,0,0,75,75,75,0,25,0,75,0,0,43,57,57,14,29,0,57,0,0,67,67,67,0,33,0,67,0,0,67,67,67,0,33,0,67,0,0,.,.,.,.,.,.,.,.,.,34,51,51,1,17,31,24,27,0,32,54,54,1,18,26,26,28,0,36,48,48,0,16,36,21,26,0,64,64,64,0,11,24,20,44,0,75,75,75,0,4,21,36,39,0,57,57,57,0,17,26,10,48,0
457536,79,79,79,0,0,21,79,0,.,82,82,82,0,0,18,82,0,.,78,78,78,0,0,22,78,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,85,85,85,0,0,15,85,0,.,86,86,86,0,0,14,86,0,.,75,75,75,0,0,25,75,0,.,88,88,88,0,0,12,88,0,.,.,.,.,.,.,.,.,.,.,88,88,88,0,0,12,88,0,.
457688,15,15,15,0,1,84,9,6,0,73,73,73,0,0,27,0,73,0,12,12,12,0,1,87,10,2,0,54,54,54,0,0,46,29,25,0,67,67,67,0,0,33,0,67,0,47,47,47,0,0,53,42,5,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
457697,100,100,100,0,0,0,100,0,0,100,100,100,0,0,0,100,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,30,70,0,0,0,0,0,0,0,67,33,0,0,0,0,0,0,0,14,86,0,0,0,73,73,73,0,27,0,0,0,73,67,67,67,0,33,0,0,0,67,80,80,80,0,20,0,0,0,80,27,31,31,8,31,31,8,8,15,50,58,58,8,25,8,8,17,33,7,7,7,7,36,50,7,0,0
