UNITID,ASCDEG,BASDEG,MASDEG,DOCDEGRS,DOCDEGPP,DOCDEGOT,CERT1,CERT1A,CERT1B,CERT2,CERT4,PBACERT,PMACERT,SASCDEG,SBASDEG,SMASDEG,SDOCDEG,SCERT1A,SCERT1B,SCERT24,SBAMACRT
100654,0,562,251,7,0,0,0,0,0,0,0,0,1,0,562,251,7,0,0,0,1
100663,0,2898,2433,149,460,0,0,0,0,71,0,224,21,0,2870,2419,609,0,0,71,228
100690,47,51,107,12,0,0,0,0,0,0,0,0,0,47,51,107,12,0,0,0,0
100706,0,1635,516,40,37,0,13,0,13,0,0,35,8,0,1604,516,77,0,13,0,42
100724,0,509,105,14,24,0,0,0,0,0,0,0,0,0,509,105,38,0,0,0,0
100751,0,7363,1859,203,161,0,0,0,0,0,0,0,26,0,7278,1840,364,0,0,0,26
100760,188,.,.,.,.,.,90,0,90,72,0,.,.,188,.,.,.,0,56,70,.
100812,0,719,78,0,0,0,29,0,29,0,0,0,0,0,719,78,0,0,29,0,0
100830,0,718,277,0,3,0,7,0,7,0,0,18,39,0,718,277,3,0,7,0,56
100858,0,5730,1295,251,281,0,4,0,4,0,0,324,36,0,5641,1259,531,0,4,0,353
100937,0,261,0,0,0,0,0,0,0,0,0,0,0,0,261,0,0,0,0,0,0
101028,232,.,.,.,.,.,313,0,313,70,0,.,.,232,.,.,.,0,308,70,.
101116,39,42,25,0,1,0,0,0,0,0,0,0,0,39,42,25,1,0,0,0,0
101143,214,.,.,.,.,.,9,0,9,3,0,.,.,196,.,.,.,0,8,3,.
101161,848,.,.,.,.,.,384,8,376,253,0,.,.,827,.,.,.,8,295,245,.
101189,13,378,433,0,54,0,0,0,0,0,0,0,0,13,378,433,54,0,0,0,0
101240,645,.,.,.,.,.,269,0,269,204,0,.,.,633,.,.,.,0,176,180,.
101277,0,.,.,.,.,.,3,0,3,47,0,.,.,0,.,.,.,0,3,47,.
101286,476,.,.,.,.,.,432,0,432,162,0,.,.,475,.,.,.,0,390,162,.
101295,978,.,.,.,.,.,981,0,981,363,0,.,.,975,.,.,.,0,706,363,.
101301,272,.,.,.,.,.,11,0,11,146,0,.,.,202,.,.,.,0,10,126,.
101365,118,10,7,0,0,0,44,0,44,109,0,0,2,118,10,7,0,0,44,109,2
101435,0,244,0,0,0,0,0,0,0,0,0,0,0,0,244,0,0,0,0,0,0
101453,0,11,2,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0
101462,75,.,.,.,.,.,154,0,154,37,0,.,.,75,.,.,.,0,83,37,.
101471,0,.,.,.,.,.,249,0,249,18,0,.,.,0,.,.,.,0,187,18,.
101480,0,1463,456,0,13,0,0,0,0,0,0,2,81,0,1463,456,13,0,0,0,83
101505,975,.,.,.,.,.,300,0,300,251,0,.,.,969,.,.,.,0,268,244,.
101514,1373,.,.,.,.,.,1311,0,1311,166,0,.,.,1368,.,.,.,0,987,165,.
101569,369,.,.,.,.,.,147,0,147,106,0,.,.,366,.,.,.,0,138,105,.
101587,35,350,1181,17,0,0,0,0,0,0,0,0,186,35,350,1181,17,0,0,0,186
101602,295,.,.,.,.,.,169,0,169,59,0,.,.,294,.,.,.,0,159,59,.
101648,86,.,.,.,.,.,0,0,0,0,0,.,.,86,.,.,.,0,0,0,.
101675,0,204,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0
101693,6,234,85,7,0,0,0,0,0,0,0,0,0,6,228,85,7,0,0,0,0
101709,0,432,109,0,0,0,0,0,0,0,0,0,18,0,432,109,0,0,0,0,18
101736,485,.,.,.,.,.,1374,8,1366,155,0,.,.,477,.,.,.,8,1139,155,.
101879,0,1262,561,0,0,0,1,0,1,0,0,43,35,0,1257,561,0,0,1,0,78
101897,464,.,.,.,.,.,626,0,626,138,0,.,.,429,.,.,.,0,554,126,.
101912,3,261,12,0,0,0,0,0,0,0,0,13,0,3,253,12,0,0,0,0,13
101994,28,.,.,.,.,.,6,0,6,101,0,.,.,28,.,.,.,0,6,101,.
102030,353,.,.,.,.,.,134,0,134,131,0,.,.,352,.,.,.,0,134,131,.
102049,0,923,264,46,423,0,0,0,0,0,0,8,9,0,921,264,469,0,0,0,17
102067,537,.,.,.,.,.,127,0,127,107,0,.,.,529,.,.,.,0,118,107,.
102076,411,.,.,.,.,.,105,0,105,57,0,.,.,408,.,.,.,0,70,43,.
102094,0,1954,1230,39,252,0,82,28,54,19,0,0,165,0,1944,1228,291,28,54,19,162
102234,0,239,42,0,0,0,3,0,3,0,0,24,0,0,239,42,0,0,3,0,22
102270,0,122,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0
102298,0,143,4,0,0,0,0,0,0,0,0,0,0,0,143,4,0,0,0,0,0
102313,171,.,.,.,.,.,52,0,52,47,0,.,.,171,.,.,.,0,38,47,.
102368,338,2326,1137,8,24,0,4,0,4,0,0,12,37,338,2326,1137,32,0,4,0,49
102377,0,530,76,6,59,0,0,0,0,0,0,0,0,0,513,76,65,0,0,0,0
102395,0,20,34,0,0,15,0,0,0,0,0,0,0,0,20,28,15,0,0,0,0
102429,528,.,.,.,.,.,495,179,316,173,0,.,.,526,.,.,.,175,218,173,.
102553,670,1044,190,6,3,0,57,0,57,69,0,40,0,665,1039,190,9,0,57,59,40
102580,1,4,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0
102614,258,568,195,39,0,0,69,0,69,167,0,39,0,254,558,195,39,0,64,157,39
102632,77,144,122,0,0,0,165,0,165,43,0,31,0,77,144,122,0,0,164,38,31
102669,5,52,57,0,1,0,0,0,0,0,0,19,0,5,52,54,1,0,0,0,19
102711,0,.,.,.,.,.,19,0,19,71,0,.,.,0,.,.,.,0,19,71,.
102845,257,36,0,0,0,0,0,0,0,1060,0,0,0,257,36,0,0,0,0,1060,0
103501,29,.,.,.,.,.,51,0,51,157,0,.,.,29,.,.,.,0,51,157,.
103741,0,.,.,.,.,.,15,0,15,49,0,.,.,0,.,.,.,0,15,49,.
103893,154,.,.,.,.,.,0,0,0,323,0,.,.,154,.,.,.,0,0,323,.
103909,129,.,.,.,.,.,0,0,0,170,0,.,.,129,.,.,.,0,0,170,.
103927,37,.,.,.,.,.,0,0,0,141,0,.,.,37,.,.,.,0,0,141,.
103954,0,.,.,.,.,.,20,0,20,8,0,.,.,0,.,.,.,0,20,8,.
103963,0,.,.,.,.,.,0,0,0,223,0,.,.,0,.,.,.,0,0,223,.
104090,97,212,14,0,0,0,297,0,297,32,0,0,0,94,212,14,0,0,297,32,0
104151,0,14794,3926,614,283,0,1271,0,1271,41,0,172,20,0,13952,3914,897,0,1177,41,185
104160,893,.,.,.,.,.,100,23,77,644,0,.,.,776,.,.,.,23,68,605,.
104179,0,7543,2256,486,524,0,183,0,183,0,0,232,10,0,7345,2227,1008,0,182,0,241
104346,587,.,.,.,.,.,166,8,158,411,0,.,.,583,.,.,.,8,142,408,.
104391,0,.,.,.,.,.,0,0,0,16,0,.,.,0,.,.,.,0,0,16,.
104425,1521,.,.,.,.,.,156,70,86,275,0,.,.,1505,.,.,.,70,84,273,.
104443,0,.,.,.,.,.,3,0,3,24,0,.,.,0,.,.,.,0,3,24,.
104568,0,.,.,.,.,.,153,0,153,60,0,.,.,0,.,.,.,0,153,60,.
104577,440,.,.,.,.,.,214,1,213,80,0,.,.,427,.,.,.,1,213,79,.
104586,0,612,14,0,0,0,0,0,0,0,0,0,0,0,607,14,0,0,0,0,0
104665,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
104708,1720,.,.,.,.,.,632,149,483,1315,0,.,.,1518,.,.,.,121,405,1233,.
104717,0,13492,14378,829,0,0,14,0,14,0,0,205,221,0,13491,14206,829,0,14,0,423
105145,588,.,.,.,.,.,475,109,366,226,24,.,.,577,.,.,.,102,348,246,.
105154,1592,.,.,.,.,.,422,140,282,1070,0,.,.,1463,.,.,.,118,228,1024,.
